sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
HAT1	ENST00000264108	47.84	31.71	31.54	47.54	20.18	36.25	87.72	84.79	44.34	61.77	55.27	87.3
HAUS1	ENST00000282058	25.67	19.98	19.61	22.93	10.03	21.76	71.04	54.78	35.48	52.19	16.41	58.65
HAUS2	ENST00000260372	9.06	12.15	7.39	10.23	7.7	12.16	8.81	12.13	9.91	5.2	10.93	13.19
HAUS3	ENST00000243706	3.5	3.32	2.69	3.83	1.53	5.13	3.93	7.39	3.89	4.71	5.52	11.59
HAUS6	ENST00000380502	6.9	9.27	5.04	8.63	4.53	9.45	5.53	8.02	3.16	3.97	4.27	9.52
HAX1	ENST00000483970	67.27	61.29	63.49	67.6	79.15	51.47	45.13	63.0	34.1	29.83	41.15	41.48
HBEGF	ENST00000230990	9.39	5.34	5.71	8.79	12.39	7.16	24.33	10.68	20.87	23.23	37.16	16.3
HBS1L	ENST00000367837	14.4	12.01	11.41	15.16	15.91	10.6	29.86	21.96	17.76	24.27	32.36	22.61
HCCS	ENST00000321143	14.76	14.79	11.92	19.48	28.76	14.73	50.4	39.32	29.04	47.7	101.69	38.48
HCFC2	ENST00000229330	6.2	7.61	5.93	5.82	6.34	5.88	6.12	7.95	5.02	4.5	6.43	6.01
HCLS1	ENST00000314583	2.61	3.12	2.6	4.02	1.88	2.93	9.3	6.97	5.56	5.96	2.62	5.25
HDAC1	ENST00000373548	81.16	55.92	79.17	96.5	34.92	65.83	137.23	89.7	130.24	155.83	52.74	106.87
HDAC10	ENST00000216271	6.24	5.43	6.36	4.63	4.03	7.2	3.67	3.77	9.4	6.91	1.0	1.91
HDAC11	ENST00000437379	2.9	3.88	3.42	2.1	6.31	3.03	8.02	5.91	4.18	4.36	5.98	3.24
HDAC2	ENST00000398283	31.95	20.75	23.26	32.55	18.61	24.99	134.35	123.41	92.5	111.59	129.58	151.75
HDAC3	ENST00000305264	41.81	32.02	36.17	39.15	28.57	33.2	24.25	17.42	18.08	24.19	14.79	12.47
HDAC4	ENST00000345617	3.1	2.22	2.65	2.21	1.28	2.53	4.39	1.74	4.16	2.11	1.04	1.99
HDAC7	ENST00000380610	31.16	27.16	27.82	21.94	18.33	35.64	12.29	8.51	13.98	10.66	4.57	8.05
HDDC2	ENST00000398153	23.96	21.25	19.94	23.13	18.83	20.35	20.44	35.74	24.61	33.75	25.16	32.45
HDDC3	ENST00000394272	12.1	8.51	11.81	13.82	6.93	7.79	15.76	14.29	13.73	15.81	5.15	7.54
HDGF	ENST00000406805	141.68	115.09	98.84	106.18	93.47	170.41	376.7	232.25	261.54	227.41	130.9	376.86
HDHD2	ENST00000300605	14.46	13.08	11.21	14.76	13.48	12.84	17.98	12.5	11.26	15.02	12.37	9.83
HDLBP	ENST00000391975	271.48	261.09	332.87	261.13	287.27	217.67	205.14	189.86	220.34	179.82	218.04	156.99
HDX	ENST00000297977	1.0	1.0	1.0	1.0	1.0	1.0	1.74	1.0	1.0	1.13	1.09	1.77
HEATR1	ENST00000366582	18.24	11.49	13.18	19.49	8.48	12.69	18.52	15.99	14.06	19.9	17.91	22.38
HEATR2	ENST00000297440	19.52	12.62	14.95	19.16	11.28	15.84	20.45	11.0	22.44	24.83	10.05	13.09
HEATR3	ENST00000299192	11.63	10.8	9.14	11.53	9.62	13.91	14.01	13.11	9.76	13.68	11.11	14.03
HEATR5A	ENST00000543095	4.58	7.73	5.63	5.22	9.54	4.1	1.74	4.41	3.22	3.9	6.46	3.25
HEATR5B	ENST00000233099	4.69	6.19	5.36	5.24	6.96	5.9	3.81	6.6	4.31	4.96	10.57	8.48
HEATR6	ENST00000184956	10.67	7.92	9.65	9.09	3.85	13.54	6.63	8.91	8.07	7.08	4.76	10.42
HEATR7A	ENST00000528919	5.72	6.3	7.95	7.93	8.75	6.54	3.57	4.52	6.43	5.54	3.74	3.95
HEBP1	ENST00000014930	37.89	34.08	36.43	44.87	53.95	33.79	95.44	75.58	66.15	61.67	90.9	74.78
HECA	ENST00000367658	5.14	5.9	7.75	5.09	4.57	4.18	1.89	2.85	5.39	1.85	1.97	1.61
HECTD1	ENST00000261312	29.99	26.55	27.13	29.87	34.16	25.88	19.03	22.15	18.91	22.85	52.28	26.49
HECTD2	ENST00000446394	1.84	1.83	2.39	2.07	2.23	1.97	1.28	1.8	1.15	2.29	2.71	3.24
HECTD3	ENST00000372172	21.59	17.05	25.5	22.68	18.5	17.33	19.64	19.53	25.71	24.4	14.96	14.08
HECW1	ENST00000395891	1.72	1.38	1.59	2.6	1.0	1.7	1.86	1.15	2.82	2.12	1.0	2.0
HECW2	ENST00000260983	2.26	3.28	2.94	3.45	5.73	1.88	1.44	2.65	1.6	1.31	5.84	2.1
HELB	ENST00000545134	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.18	1.0	1.05
HELQ	ENST00000295488	2.22	3.43	2.42	2.7	4.64	3.79	1.0	2.03	1.0	1.16	2.16	1.28
HELZ	ENST00000358691	5.37	4.96	5.57	5.1	4.81	5.98	4.85	3.85	4.93	2.61	7.32	5.49
HEMK1	ENST00000232854	4.78	3.16	5.42	4.52	2.42	2.47	11.37	5.44	12.14	10.53	3.68	4.0
HEPHL1	ENST00000315765	1.0	1.0	1.0	1.0	1.37	3.22	1.0	1.0	1.0	1.0	2.22	5.05
HERC1	ENST00000443617	8.56	9.13	10.34	8.85	8.27	6.91	6.99	7.17	8.29	8.7	10.23	9.25
HERC2	ENST00000261609	22.98	17.39	19.44	16.81	12.97	17.02	9.18	8.54	12.72	12.0	6.5	9.55
HERC3	ENST00000402738	6.88	8.38	7.16	7.14	17.42	17.48	7.97	10.76	9.06	7.22	27.74	24.18
HERC4	ENST00000395198	47.86	69.99	29.92	41.74	86.42	41.01	62.03	85.93	37.4	39.81	138.95	47.53
HERC5	ENST00000264350	1.65	1.0	1.3	1.52	1.0	3.56	1.0	1.0	1.56	3.27	1.0	4.41
HERPUD1	ENST00000300302	34.93	34.53	60.76	36.43	47.32	30.02	52.75	43.07	82.67	51.67	83.83	32.58
HERPUD2	ENST00000396081	8.81	10.33	11.57	7.28	7.98	9.46	14.11	15.97	16.6	18.51	20.51	16.74
HEXA	ENST00000268097	30.53	31.01	49.43	39.19	52.59	38.54	72.49	63.8	105.81	110.32	147.3	71.14
HEXB	ENST00000261416	114.89	95.28	121.57	158.16	203.39	139.09	168.52	121.07	148.2	244.61	498.93	154.06
HEXIM1	ENST00000332499	13.15	16.4	12.65	10.73	13.82	18.89	61.27	52.56	78.26	46.49	44.27	70.96
HEXIM2	ENST00000307275	3.27	1.88	3.68	3.26	3.63	4.1	4.86	3.04	2.87	3.31	2.22	4.36
HGS	ENST00000329138	87.51	55.18	88.09	90.37	43.56	91.12	74.66	55.13	92.87	88.49	36.32	62.96
HIAT1	ENST00000370152	20.87	21.35	33.33	21.32	23.19	24.58	15.82	15.91	17.55	18.75	29.51	16.85
HIBADH	ENST00000265395	19.69	29.15	20.52	19.17	20.92	21.78	32.49	52.26	29.21	16.89	31.9	29.77
HIBCH	ENST00000359678	7.73	6.82	8.05	10.02	11.77	7.57	13.87	19.31	15.03	17.16	28.08	19.18
HIF1A	ENST00000539097	217.6	205.31	213.29	188.36	115.36	104.69	186.47	213.33	169.81	115.32	153.13	129.38
HIGD1A	ENST00000452906	30.09	53.61	26.01	35.22	91.22	48.16	85.23	146.45	60.98	65.61	160.46	111.85
HINFP	ENST00000350777	4.41	3.38	4.97	4.6	4.53	4.23	2.78	1.12	2.8	3.55	1.4	2.52
HINT3	ENST00000229633	4.71	5.83	6.14	6.28	11.05	6.31	5.39	7.69	2.4	8.54	8.71	7.42
HIP1	ENST00000336926	7.94	8.31	7.13	13.22	3.93	15.02	13.73	13.93	10.46	22.09	7.71	28.74
HIP1R	ENST00000253083	4.66	4.81	7.04	4.44	5.47	3.99	5.75	4.45	12.11	8.46	5.12	3.31
HIPK1	ENST00000426820	18.86	11.65	16.31	13.8	9.13	11.53	8.05	7.87	6.72	9.62	7.19	8.76
HIPK2	ENST00000406875	6.82	3.74	6.87	8.28	5.76	3.68	1.0	1.0	1.56	2.84	1.84	1.15
HIPK3	ENST00000303296	11.83	10.83	13.09	10.03	15.65	8.84	2.99	3.99	4.65	3.72	9.87	4.51
HIRA	ENST00000263208	19.62	13.91	21.39	19.41	9.9	16.58	6.67	3.53	6.89	6.52	2.08	4.31
HIRIP3	ENST00000279392	16.82	9.41	10.9	10.57	2.04	9.16	24.91	17.25	18.86	13.22	2.13	13.57
HIST1H2AG	ENST00000359193	1.0	1.02	1.0	1.33	1.94	1.21	626.29	687.73	280.42	307.07	9.51	635.95
HIVEP1	ENST00000379388	3.64	3.22	2.84	2.33	2.01	2.03	1.0	1.41	1.0	1.0	1.5	1.0
HIVEP2	ENST00000367603	9.06	7.58	12.82	10.37	11.38	10.89	2.09	2.3	4.84	3.12	5.23	4.76
HK1	ENST00000448642	113.23	73.35	110.97	146.63	73.09	83.07	174.58	99.12	147.09	203.79	104.51	114.61
HK2	ENST00000290573	33.97	29.14	38.33	46.35	43.81	28.14	65.81	56.92	101.38	115.66	116.1	65.91
HKR1	ENST00000324411	4.77	5.58	5.43	4.92	6.36	6.09	1.15	1.91	2.47	6.43	3.95	3.95
HLA-A	ENST00000376806	83.46	147.78	120.13	73.08	116.92	159.98	305.74	256.53	455.77	240.42	267.59	250.77
HLA-B	ENST00000412585	49.81	157.66	89.58	37.23	111.58	213.12	117.49	269.31	322.22	120.81	200.54	299.65
HLA-E	ENST00000376630	62.62	98.34	100.14	63.98	121.85	90.59	162.86	203.66	263.49	204.21	272.67	185.44
HLA-F	ENST00000259951	2.93	9.41	3.56	2.03	5.17	13.67	22.15	15.33	30.18	17.76	17.27	22.88
HLCS	ENST00000399120	3.79	7.04	5.94	3.61	4.1	4.2	2.12	5.14	4.65	1.92	4.15	3.4
HLTF	ENST00000310053	17.54	15.16	12.95	11.32	7.16	12.05	41.41	24.98	19.81	17.9	18.08	29.59
HLX	ENST00000366903	5.73	3.42	4.65	3.98	2.76	3.93	14.65	8.53	15.28	10.27	6.4	7.78
HM13	ENST00000398174	122.55	128.54	135.65	150.54	227.78	140.6	225.41	233.83	263.92	372.65	617.58	260.91
HMBOX1	ENST00000444075	3.0	2.87	3.53	2.88	3.3	1.84	2.09	1.75	2.17	5.15	2.15	2.64
HMBS	ENST00000278715	31.22	21.88	23.99	31.39	15.64	30.15	27.96	23.59	17.08	16.03	11.05	24.77
HMCN1	ENST00000271588	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HMG20A	ENST00000381714	9.86	11.1	11.24	10.12	9.82	9.43	23.8	24.82	30.63	22.61	22.23	22.94
HMGA1	ENST00000395004	888.05	570.74	1021.32	1131.78	561.26	988.85	237.55	266.17	319.98	268.96	129.13	522.7
HMGB3	ENST00000325307	17.15	11.35	10.3	11.17	3.59	15.62	161.74	85.45	61.93	58.01	19.61	109.61
HMGCL	ENST00000374490	10.99	14.77	14.14	12.7	24.52	10.52	19.88	28.28	20.57	19.17	28.0	14.69
HMGN3	ENST00000344726	31.62	20.98	25.39	34.43	15.02	27.15	32.7	92.67	42.49	59.14	36.22	138.89
HMGN5	ENST00000358130	1.93	1.12	1.61	1.75	1.65	1.0	12.24	10.97	12.72	31.35	15.05	12.98
HMGXB3	ENST00000502717	19.74	18.03	21.38	30.54	20.83	21.16	4.89	4.32	6.21	6.0	4.98	3.97
HMGXB4	ENST00000216106	13.29	11.72	11.39	12.82	5.93	12.51	10.75	9.35	7.08	8.9	3.95	15.69
HMOX2	ENST00000458134	23.8	26.01	19.23	32.46	63.4	35.33	32.49	43.77	27.99	39.07	62.89	46.17
HNRNPA0	ENST00000314940	77.09	52.65	60.75	65.05	31.75	58.78	181.35	119.86	167.75	119.06	58.81	111.74
HNRNPA2B1	ENST00000354667	260.49	179.86	190.38	245.35	92.96	258.48	1816.66	1098.86	1063.75	1136.34	564.18	1428.57
HNRNPA3	ENST00000392524	272.62	139.23	201.98	266.1	81.97	204.39	560.67	305.05	315.56	359.93	183.12	413.51
HNRNPAB	ENST00000358344	134.86	98.82	76.74	126.96	52.28	99.92	389.42	190.42	222.72	262.71	90.85	219.58
HNRNPC	ENST00000320084	163.04	135.74	114.46	155.01	150.74	154.9	798.29	449.76	440.24	512.49	445.35	570.9
HNRNPF	ENST00000443950	115.09	86.84	91.74	108.02	49.05	81.92	395.65	207.94	279.2	243.82	126.43	186.32
HNRNPH2	ENST00000316594	34.72	41.77	42.87	40.48	47.49	43.43	103.51	111.59	98.15	75.13	117.46	109.63
HNRNPH3	ENST00000265866	83.45	64.8	56.9	77.48	29.25	75.22	301.88	163.16	156.74	184.1	68.31	184.19
HNRNPK	ENST00000376263	235.01	228.52	200.49	248.91	183.61	266.55	604.69	451.87	458.53	488.33	380.65	530.27
HNRNPL	ENST00000221419	180.98	150.84	120.41	174.18	84.32	181.01	296.27	212.32	182.52	228.66	118.42	221.7
HNRNPM	ENST00000325495	144.27	90.92	103.03	139.62	52.19	148.04	345.54	170.3	259.11	263.24	100.14	259.89
HNRNPR	ENST00000374616	106.31	65.09	76.04	95.62	32.89	82.34	257.84	128.94	159.24	151.35	65.37	156.31
HNRNPU	ENST00000283179	213.88	135.49	149.71	205.96	97.23	168.95	615.17	373.03	498.41	513.01	317.68	505.84
HNRNPUL2	ENST00000301785	68.34	41.84	59.27	54.82	26.39	52.47	212.16	107.02	207.38	175.58	61.44	113.76
HNRPLL	ENST00000449105	12.1	10.77	11.22	12.5	11.33	14.95	32.91	22.78	25.46	22.91	22.57	24.7
HOMER3	ENST00000539827	68.35	47.65	75.18	66.78	49.51	58.97	87.26	44.36	81.53	67.66	28.34	41.02
HOMEZ	ENST00000561013	3.12	3.86	4.82	2.87	4.93	3.78	2.49	4.91	4.36	1.92	5.56	5.1
HOOK2	ENST00000397668	4.31	3.57	5.49	3.81	3.28	3.54	4.69	3.23	7.12	8.6	4.07	2.92
HOOK3	ENST00000307602	12.57	13.21	13.97	10.33	10.36	9.56	36.66	47.91	36.41	30.11	44.13	48.15
HOXA13	ENST00000222753	6.16	9.85	6.15	3.94	1.78	7.61	15.22	13.84	10.71	3.73	2.01	10.06
HOXC9	ENST00000303450	1.0	1.26	1.0	1.0	1.67	1.83	1.0	1.0	1.0	1.0	2.11	5.3
HPS1	ENST00000325103	13.12	15.87	20.13	11.9	12.43	11.07	5.31	5.61	11.89	6.37	2.77	3.68
HPS3	ENST00000296051	11.12	8.93	14.14	11.68	6.99	8.85	10.56	8.21	12.82	6.72	6.78	7.76
HPS5	ENST00000349215	9.74	15.52	9.0	12.3	17.11	11.75	6.69	12.19	6.35	5.97	15.7	10.2
HPS6	ENST00000299238	12.1	14.75	12.98	12.05	12.03	17.78	13.28	13.38	17.57	14.52	9.07	10.94
HRH1	ENST00000397056	1.21	2.07	1.0	1.31	1.0	5.09	2.91	4.67	1.65	4.12	2.26	10.09
HRSP12	ENST00000254878	11.37	13.76	10.32	14.52	30.0	13.71	25.49	30.23	19.39	29.11	42.63	20.25
HS2ST1	ENST00000370550	9.73	9.39	15.39	13.93	14.9	14.08	22.91	27.45	39.35	38.29	73.38	49.71
HSCB	ENST00000216027	9.83	7.41	9.73	11.24	11.0	11.57	12.58	14.6	10.88	18.68	10.81	14.66
HSD17B10	ENST00000168216	49.66	36.08	36.49	54.8	65.18	48.36	68.17	49.44	47.02	70.7	65.48	51.69
HSD17B4	ENST00000504811	27.71	33.24	32.07	32.27	44.18	31.14	61.69	64.94	62.55	63.99	91.27	58.31
HSDL1	ENST00000219439	6.68	7.17	6.94	8.29	11.6	7.61	8.72	10.11	10.58	16.69	26.62	12.54
HSDL2	ENST00000398805	7.37	12.01	6.25	9.03	13.9	7.64	12.23	25.59	12.82	13.72	29.95	19.12
HSF2	ENST00000368455	8.72	7.45	6.75	8.45	4.38	8.39	18.89	11.56	11.44	6.44	9.07	13.92
HSP90AB1	ENST00000371554	809.43	471.61	625.17	914.39	421.4	734.42	1803.47	1133.05	1265.09	1680.55	1345.25	2099.91
HSP90B1	ENST00000299767	317.27	405.06	287.09	338.34	226.81	411.05	837.98	1296.7	739.19	1139.93	1188.95	1681.31
HSPA12A	ENST00000369209	3.4	4.18	3.47	1.84	1.42	2.87	3.18	3.16	3.85	1.82	1.0	2.76
HSPA13	ENST00000285667	25.61	19.34	28.72	24.14	24.56	18.45	100.55	88.91	109.88	88.42	173.99	122.44
HSPA14	ENST00000378372	13.91	9.33	9.59	14.11	9.09	14.38	13.18	14.46	11.61	17.94	13.92	22.33
HSPA1B	ENST00000375650	18.9	12.23	17.35	13.26	5.89	13.58	24.53	11.11	35.13	6.95	5.01	17.61
HSPA4	ENST00000304858	73.38	66.9	67.11	99.4	86.49	78.68	213.13	165.1	166.09	260.25	283.65	237.67
HSPA4L	ENST00000296464	3.96	4.0	3.51	4.05	6.94	3.12	10.56	10.92	6.62	5.05	26.46	8.01
HSPA5	ENST00000324460	197.68	324.03	178.04	282.17	356.79	322.26	739.2	1497.17	730.16	1012.02	2405.84	1528.52
HSPA8	ENST00000534624	1322.71	953.33	1063.52	1517.4	1284.37	1215.26	2287.96	1961.31	1567.49	2254.9	2659.58	2648.55
HSPA9	ENST00000297185	177.25	110.67	158.0	229.02	135.58	131.82	585.02	318.2	454.68	557.52	435.53	424.16
HSPBP1	ENST00000433386	32.27	19.77	24.46	33.22	18.36	25.12	92.15	28.84	82.33	76.87	18.19	32.15
HSPD1	ENST00000388968	301.22	189.43	190.72	353.74	159.55	266.91	708.32	438.25	339.69	567.26	399.39	621.21
HSPE1	ENST00000233893	137.04	77.77	95.03	172.57	85.52	136.86	356.37	612.33	204.79	307.13	422.3	828.47
HSPH1	ENST00000445273	67.64	52.77	64.53	89.35	43.25	86.19	109.11	101.14	105.89	127.33	115.34	183.78
HTATIP2	ENST00000419348	12.33	14.39	14.07	14.49	18.83	19.08	17.79	25.57	18.09	11.88	32.12	33.14
HTATSF1	ENST00000535601	29.83	21.21	23.78	28.95	21.74	26.34	52.28	49.03	47.46	41.7	51.79	69.09
HTRA2	ENST00000258080	11.92	9.27	12.53	16.37	16.77	13.28	11.86	11.73	14.52	18.6	19.95	13.22
HUS1	ENST00000258774	8.05	8.36	7.54	9.75	10.98	10.57	19.56	22.45	16.6	14.69	24.13	22.44
HYAL2	ENST00000447092	11.52	14.99	10.97	10.79	19.8	14.64	16.3	17.91	15.67	18.24	25.56	13.7
HYLS1	ENST00000425380	10.54	9.11	7.09	8.3	3.18	8.29	19.11	16.01	9.65	13.58	5.22	19.96
HYOU1	ENST00000404233	61.24	50.93	43.61	71.31	59.55	71.53	152.27	141.57	121.94	234.94	194.97	186.34
IARS	ENST00000375643	64.72	87.07	77.8	90.7	130.98	77.19	50.09	92.11	74.13	84.37	180.39	106.79
IBA57	ENST00000366711	1.69	1.88	1.52	1.4	1.33	2.11	6.55	2.04	2.29	3.13	1.22	2.39
IBTK	ENST00000306270	14.34	16.66	18.52	14.93	15.49	17.08	5.0	7.1	7.62	6.92	11.79	9.55
ICAM3	ENST00000160262	5.08	6.78	6.98	7.1	5.8	6.76	1.09	2.13	1.97	1.93	1.0	2.67
ICAM5	ENST00000221980	4.29	10.73	8.48	3.91	6.16	7.68	4.72	11.64	13.91	4.77	7.58	7.54
ICMT	ENST00000343813	68.12	55.78	47.61	51.12	46.36	50.74	70.25	61.62	57.95	69.69	59.79	42.11
ICT1	ENST00000301585	40.59	23.43	27.39	42.81	26.81	36.72	87.18	46.88	48.27	73.31	48.72	62.99
IDE	ENST00000265986	12.62	10.94	14.04	11.45	6.1	8.26	17.61	17.36	17.46	12.91	13.41	15.55
IDH3A	ENST00000299518	11.44	8.46	7.78	13.42	10.41	9.72	70.73	49.57	35.31	54.58	54.48	61.19
IDH3B	ENST00000380843	64.26	33.44	59.58	76.19	53.13	53.91	122.56	52.16	88.92	110.28	62.24	59.77
IDH3G	ENST00000217901	39.48	32.44	46.47	39.18	37.73	34.5	36.18	42.24	59.47	37.95	40.89	30.39
IDS	ENST00000340855	13.93	15.58	23.89	17.15	27.18	17.53	6.74	5.9	6.47	6.38	16.25	5.17
IDUA	ENST00000453894	3.83	6.84	6.1	2.81	9.19	5.29	7.64	10.77	13.04	4.62	17.83	6.06
IER2	ENST00000292433	38.08	37.75	48.72	56.34	27.79	67.11	83.8	63.68	145.79	112.83	33.77	89.8
IER3IP1	ENST00000256433	39.31	30.74	37.74	42.49	31.83	38.76	139.48	168.34	96.84	92.09	126.39	192.67
IER5	ENST00000367577	35.35	34.6	28.64	35.03	37.96	45.58	119.73	82.39	119.98	121.11	64.32	118.52
IFFO1	ENST00000356896	19.59	12.75	24.95	21.69	13.98	14.98	17.27	10.58	25.12	35.12	9.61	12.97
IFI16	ENST00000295809	42.31	38.84	64.53	60.32	21.71	27.85	49.45	65.55	66.61	44.72	36.87	53.79
IFIT1	ENST00000371804	21.05	11.84	32.18	13.58	3.69	10.46	38.66	18.54	57.6	9.2	3.51	12.28
IFIT2	ENST00000371826	9.57	3.7	5.76	8.31	1.36	4.67	19.43	9.74	13.24	16.51	1.84	13.5
IFIT3	ENST00000371818	19.83	11.7	26.91	26.51	3.98	18.67	41.36	32.51	63.65	37.38	10.15	41.46
IFITM10	ENST00000340134	1.0	1.0	1.0	1.0	1.02	1.0	1.44	1.48	2.22	1.0	7.34	1.0
IFNAR2	ENST00000342136	3.69	5.13	3.51	3.52	4.07	6.81	2.06	4.14	1.65	2.38	6.01	4.54
IFNGR1	ENST00000367739	15.99	18.57	19.54	16.35	22.89	18.07	30.61	45.05	37.01	22.66	89.66	38.83
IFNGR2	ENST00000381995	20.32	30.78	25.0	24.28	28.44	42.89	4.09	7.75	5.61	6.41	13.39	8.2
IFRD1	ENST00000403825	26.25	17.64	22.19	34.69	21.89	24.15	17.76	2.58	9.15	26.79	7.44	5.95
IFT122	ENST00000296266	7.91	5.1	7.17	4.92	4.01	4.77	5.02	4.73	6.37	4.83	3.52	4.61
IFT140	ENST00000426508	3.74	3.6	6.41	3.08	2.27	3.43	3.88	3.15	7.93	1.75	2.22	3.2
IFT172	ENST00000260570	3.17	3.73	3.47	2.74	2.22	3.38	3.18	3.74	3.68	2.52	2.7	4.11
IFT20	ENST00000357896	4.04	12.38	6.43	4.92	27.49	9.43	12.7	18.23	12.26	5.24	26.65	18.39
IFT27	ENST00000433985	12.1	11.64	13.52	13.4	15.11	19.23	27.62	22.31	24.03	17.01	17.51	37.56
IFT46	ENST00000264020	13.24	13.32	14.43	16.78	10.09	14.17	5.96	8.18	4.66	3.45	4.23	8.22
IFT52	ENST00000373030	20.06	13.15	23.24	18.44	13.88	12.32	7.23	9.08	8.03	5.86	10.26	7.29
IFT57	ENST00000264538	11.46	10.55	14.23	13.33	10.71	11.51	15.43	15.91	14.13	10.12	13.21	18.13
IFT74	ENST00000443698	4.59	5.06	4.18	3.84	4.74	4.22	3.22	11.95	4.98	3.34	11.33	10.54
IFT80	ENST00000326448	6.13	6.62	8.7	4.1	3.36	3.72	2.06	3.99	2.88	1.15	1.0	3.04
IFT81	ENST00000242591	3.96	3.37	4.68	3.88	3.38	4.84	3.62	6.24	5.83	3.96	6.08	6.25
IFT88	ENST00000319980	2.82	2.68	3.22	3.41	2.15	3.02	4.43	3.67	4.46	4.95	4.2	5.04
IGBP1	ENST00000342206	22.67	20.62	33.1	24.8	25.67	18.84	39.65	40.81	36.67	49.39	43.3	36.08
IGF2BP1	ENST00000290341	6.94	4.61	4.89	8.61	5.3	9.23	25.33	14.77	17.64	31.37	21.61	36.09
IGF2BP2	ENST00000457616	57.8	34.84	53.74	62.49	39.59	67.84	65.93	50.2	71.21	70.43	44.09	88.69
IGHMBP2	ENST00000255078	7.76	5.15	6.02	8.24	6.92	7.64	8.87	4.15	5.75	6.29	6.79	6.45
IGSF8	ENST00000368086	6.65	10.53	10.94	4.84	9.02	8.76	8.98	12.72	22.69	13.54	10.9	7.32
IK	ENST00000417647	84.08	53.48	74.05	87.14	56.71	62.0	227.66	109.12	166.15	180.18	108.33	133.18
IKBIP	ENST00000299157	20.49	33.75	19.1	21.74	49.92	22.72	113.43	174.81	92.88	106.57	416.74	135.15
IKBKAP	ENST00000374647	10.65	15.57	9.91	13.73	19.35	15.91	9.72	15.36	11.5	17.54	24.15	17.39
IKBKB	ENST00000520810	17.29	16.16	19.69	15.21	11.33	16.94	18.75	14.55	19.34	10.69	9.11	15.11
IKBKE	ENST00000367120	4.51	4.56	6.24	5.23	3.31	10.03	1.0	1.02	2.02	1.0	1.0	1.63
IKBKG	ENST00000369609	29.16	22.84	30.14	26.32	18.54	25.79	74.51	35.39	86.28	76.6	27.91	40.78
IKZF2	ENST00000342002	1.44	2.7	2.1	1.83	3.2	2.58	1.35	3.82	2.37	1.15	4.51	5.79
IL10RB	ENST00000290200	20.12	19.15	22.28	23.27	33.36	20.57	25.8	32.44	36.22	45.35	75.74	31.42
IL11RA	ENST00000555003	2.6	5.71	3.07	1.88	2.41	3.94	8.52	8.37	7.07	5.28	4.45	3.59
IL13RA1	ENST00000371666	25.88	31.43	22.44	25.91	34.86	35.22	29.76	40.92	21.71	22.29	85.24	49.74
IL17RA	ENST00000319363	8.58	9.16	9.59	6.6	6.32	7.98	15.01	17.74	22.75	25.16	18.18	12.09
IL17RC	ENST00000295981	7.2	9.0	11.81	6.69	6.41	10.89	2.79	4.29	5.5	7.75	2.42	4.74
IL1R1	ENST00000410023	12.75	18.46	21.17	10.39	5.57	30.2	3.21	2.38	2.56	2.06	1.22	6.26
IL1RAP	ENST00000317757	2.07	1.17	1.67	2.55	1.87	2.42	11.17	3.88	6.51	9.25	8.55	12.18
IL1RAPL1	ENST00000378993	1.0	1.0	1.0	1.0	1.03	1.0	1.0	1.0	1.0	1.0	4.32	1.0
IL27RA	ENST00000263379	1.55	4.5	2.22	2.11	1.51	9.97	2.36	5.71	2.68	1.58	1.91	9.57
IL31RA	ENST00000447346	1.0	1.0	1.0	1.0	1.0	1.27	1.0	1.0	1.0	1.0	1.0	1.81
IL6R	ENST00000368485	1.0	1.0	1.0	1.18	1.8	1.0	1.0	1.03	1.51	1.0	2.72	1.0
ILF2	ENST00000361891	154.92	107.58	108.17	162.21	90.25	138.05	251.77	188.11	142.51	224.03	128.0	243.42
ILF3	ENST00000449870	113.98	54.24	79.66	92.99	25.09	70.68	208.34	87.37	168.73	183.7	44.84	126.71
ILK	ENST00000396751	132.97	133.46	179.65	145.24	98.29	141.58	215.24	175.11	266.08	166.27	125.19	182.44
ILKAP	ENST00000254654	18.22	16.65	14.48	19.17	12.53	21.76	26.01	24.81	24.14	38.33	14.23	29.93
ILVBL	ENST00000263383	22.03	21.81	24.58	19.29	10.27	15.15	30.92	26.98	39.12	31.73	11.08	13.2
IMMP2L	ENST00000405709	2.26	2.65	2.04	2.73	2.26	2.48	5.9	7.44	3.3	3.8	7.25	6.35
IMMT	ENST00000410111	42.59	38.08	39.63	46.17	38.72	44.33	67.29	49.99	53.07	62.04	60.55	74.6
IMP3	ENST00000314852	30.96	22.22	31.21	35.87	24.17	34.02	92.63	57.17	90.61	73.28	39.32	61.13
IMP4	ENST00000259239	47.72	26.17	28.19	51.66	32.64	32.1	75.84	31.4	38.7	74.33	33.35	44.01
IMPA1	ENST00000449740	10.55	13.49	7.74	10.88	14.51	9.25	25.69	28.36	16.62	25.17	31.04	16.19
IMPAD1	ENST00000262644	27.47	33.31	27.03	23.8	27.1	31.78	66.48	52.69	51.14	51.76	77.76	55.51
IMPDH1	ENST00000338791	35.02	33.52	29.61	41.8	49.69	40.17	25.93	15.2	17.2	23.99	21.2	14.15
