sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
NME4	ENST00000444498	30.66	51.74	35.33	30.52	94.43	55.99	40.1	53.28	50.61	49.36	43.59	33.54
NME6	ENST00000421967	9.25	7.55	9.31	9.71	7.44	6.92	35.24	23.64	20.78	13.45	10.11	15.01
NMI	ENST00000243346	3.89	4.86	7.19	2.87	1.0	2.93	11.51	13.7	11.05	12.14	1.22	4.58
NMNAT1	ENST00000377205	4.96	6.27	4.42	5.15	6.57	5.48	4.5	21.14	10.36	9.17	18.53	16.35
NNMT	ENST00000535401	32.67	22.35	29.78	9.75	7.22	7.93	125.83	87.69	107.24	27.58	18.48	30.62
NOL7	ENST00000451315	67.2	40.2	49.5	73.16	59.2	53.58	121.36	91.58	68.4	69.42	65.26	98.8
NOP10	ENST00000328848	153.17	114.12	154.42	253.38	305.97	156.42	269.09	404.54	200.87	310.72	516.27	393.39
NOP56	ENST00000329276	119.32	62.64	59.68	115.45	45.82	80.56	150.92	74.93	82.91	176.19	80.6	114.84
NOTCH2	ENST00000256646	48.47	35.66	46.58	45.87	34.25	32.65	36.48	36.47	55.81	60.85	70.24	39.89
NOTCH2NL	ENST00000369340	9.79	7.1	10.94	9.99	11.46	5.73	20.14	8.6	12.33	13.65	25.19	11.56
NOV	ENST00000259526	19.17	11.87	34.68	25.98	15.25	15.67	59.27	46.48	148.89	108.0	70.99	56.49
NPAS2	ENST00000542504	19.83	10.38	25.03	11.69	9.04	16.13	3.73	6.92	7.04	5.71	3.97	10.52
NPC1	ENST00000269228	28.88	14.34	48.51	63.74	48.85	26.44	39.96	32.28	86.3	144.0	203.17	63.54
NQO1	ENST00000320623	298.41	114.24	312.85	236.8	99.36	355.4	1185.09	375.42	998.86	551.43	256.7	1054.45
NR1D2	ENST00000312521	16.87	24.73	10.5	10.61	6.86	13.37	10.1	22.92	5.5	4.91	6.75	14.08
NR2C2	ENST00000323373	13.05	9.98	11.26	9.41	6.71	7.02	8.38	9.53	11.61	9.51	5.69	10.71
NR2C2AP	ENST00000420605	12.18	7.52	6.25	7.29	1.21	8.19	12.97	6.93	5.61	3.99	1.0	7.44
NR2F1	ENST00000327111	15.74	6.86	11.22	5.66	1.67	3.7	6.15	4.23	9.54	4.08	1.0	2.45
