,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,cp,go,kegg,mir,modularity data/full-new/net_exp_final.txt,modularity data/full-new/net_mirna_final.txt,modularity data/full-new/net_ppi_unique_nodes_int.txt,modularity data/full-new/net_tf_final.txt,reactome
data/full-new/multi_cluster/clusters_a_0990_phi_1000.txt,0.0833333333333,0.1875,3428,223.916666667,9.0,2,48,0.4375,0.916666666667,0.25,0.229166666667,0.0093797339856,-0.0573178968534,0.0317575864949,-1.72071457415e-06,0.354166666667
data/full-new/multi_cluster/clusters_a_0980_phi_2000.txt,0.0952380952381,0.142857142857,3337,512.142857143,59.0,2,21,0.428571428571,0.809523809524,0.190476190476,0.238095238095,0.00990274039926,-0.0653885577075,0.032716842764,-0.0013665759228,0.380952380952
data/full-new/multi_cluster/clusters_a_0950_phi_2000.txt,0.115384615385,0.230769230769,3082,413.5,13.0,2,26,0.461538461538,0.923076923077,0.230769230769,0.115384615385,0.00937900695299,-0.0728136921873,0.0321231036624,-0.00107732706465,0.384615384615
data/full-new/multi_cluster/clusters_a_0980_phi_0350.txt,0.111111111111,0.111111111111,3337,597.555555556,101.5,2,18,0.444444444444,0.833333333333,0.222222222222,0.222222222222,0.00982355827741,-0.0653861248125,0.0327379805431,-0.00138640755156,0.388888888889
data/full-new/multi_cluster/clusters_a_0950_phi_3000.txt,0.12,0.2,3082,430.0,17.0,2,25,0.44,0.92,0.28,0.12,0.00937883199488,-0.0728153153752,0.0321270572241,-0.0010709510526,0.32
data/full-new/multi_cluster/clusters_a_0999_phi_0500.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0800_phi_0300.txt,0.166666666667,0.0833333333333,3688,896.5,401.5,2,12,0.5,0.916666666667,0.25,0.583333333333,0.0215587691709,-0.0752950566221,0.0318824241832,-0.00138065174594,0.416666666667
data/full-new/multi_cluster/clusters_a_0800_phi_4000.txt,0.142857142857,0.0714285714286,3688,768.428571429,184.5,2,14,0.428571428571,1.0,0.214285714286,0.5,0.0215589562482,-0.0752737450746,0.0318824780458,-0.00138063161639,0.285714285714
data/full-new/multi_cluster/clusters_a_0999_phi_2000.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0950_phi_0250.txt,0.0526315789474,0.157894736842,3082,566.052631579,74.0,2,19,0.368421052632,0.894736842105,0.210526315789,0.105263157895,0.00948864027973,-0.0729718606436,0.0323918701386,-0.000826919137139,0.368421052632
data/full-new/multi_cluster/clusters_a_0999_phi_0600.txt,0.108695652174,0.195652173913,3428,233.673913043,9.0,2,46,0.45652173913,0.934782608696,0.239130434783,0.217391304348,0.00938603677796,-0.0573615669079,0.0317163154184,-2.16801573508e-05,0.369565217391
data/full-new/multi_cluster/clusters_a_0980_phi_1000.txt,0.0952380952381,0.142857142857,3337,512.142857143,59.0,2,21,0.428571428571,0.857142857143,0.190476190476,0.238095238095,0.00989437537332,-0.0653885577075,0.032716842764,-0.0013665759228,0.380952380952
data/full-new/multi_cluster/clusters_a_0900_phi_2000.txt,0.0555555555556,0.111111111111,3101,597.555555556,121.0,2,18,0.222222222222,0.888888888889,0.222222222222,0.111111111111,0.00729232912932,-0.0686125627289,0.0313849662539,-0.000183370315418,0.222222222222
data/full-new/multi_cluster/clusters_a_0980_phi_0300.txt,0.111111111111,0.111111111111,3337,597.555555556,101.5,2,18,0.444444444444,0.833333333333,0.222222222222,0.222222222222,0.00982285989854,-0.0653818976998,0.0327633151348,-0.00138204535266,0.388888888889
data/full-new/multi_cluster/clusters_a_0900_phi_0500.txt,0.0625,0.125,3101,672.3125,214.5,2,16,0.25,1.0,0.25,0.125,0.00727639720806,-0.0686065843815,0.0313771841313,-0.000165238436046,0.25
data/full-new/multi_cluster/clusters_a_0990_phi_3000.txt,0.122448979592,0.204081632653,3428,219.367346939,9.0,2,49,0.469387755102,0.959183673469,0.285714285714,0.244897959184,0.00936644505184,-0.0573209119328,0.0317984974026,-2.23535762567e-05,0.326530612245
