"","V1","V2"
"297","ACO1","NFKBIB"
"298","ACO1","NFKBIE"
"299","ACAS2","ACOX1"
"300","ACOX1","BCKDK"
"301","ACOX1","CCBL1"
"302","ACOX1","CDYL"
"303","ACOX1","CRNKL1"
"304","ACOX1","DDX35"
"305","ACOX1","FBLN1"
"306","ACOX1","FBLN2"
"307","ACOX1","FLJ34278"
"308","ACOX1","FLJ38866"
"309","ACOX1","GLO1"
"310","ACOX1","GPT"
"311","ACOX1","GPT2"
"312","ACOX1","HIBCH"
"313","ACOX1","HSD17B4"
"314","ACOX1","IPT"
"315","ACOX1","KIAA0934"
"316","ACOX1","KIAA1463"
"317","ACOX1","LOC283828"
"318","ACOX1","LOC284161"
"319","ACOX1","LOC286552"
"320","ACOX1","LOC56267"
"321","ACOX1","MGC25181"
"322","ACOX1","MGC4171"
"323","ACOX1","PC"
"324","ACOX1","PDK1"
"325","ACOX1","PDK2"
"326","ACOX1","PECI"
"327","ACOX1","PLD1"
"328","ACOX1","PLD2"
"329","ACOX1","SLC27A2"
"330","ACOX1","SLC27A3"
"331","ACOX1","SLC27A4"
"332","ACOX1","SLC27A5"
"333","ACOX1","TOPBP1"
"334","ACOX1","VLCS-H1"
"335","ACAS2","ACOX2"
"336","ACOX2","BCKDK"
"337","ACOX2","CDYL"
"338","ACOX2","FLJ34278"
"339","ACOX2","FLJ38866"
"340","ACOX2","GPT2"
"341","ACOX2","HIBCH"
"342","ACOX2","IPT"
"343","ACOX2","KIAA0934"
"344","ACOX2","KIAA1463"
"345","ACOX2","LOC283828"
"346","ACOX2","LOC284161"
"347","ACOX2","LOC286552"
"348","ACOX2","LOC56267"
"349","ACOX2","MGC25181"
"350","ACOX2","MGC4171"
"351","ACOX2","PECI"
"352","ACOX2","SLC27A2"
"353","ACOX2","SLC27A3"
"354","ACOX2","SLC27A4"
"355","ACOX2","SLC27A5"
"356","ACOX2","VLCS-H1"
"357","ACP1","ACPT"
"358","ACP1","ADA"
"359","ACP1","ASMT"
"360","ACP1","EPHB1"
"361","ACP1","EPHB2"
"362","ACP1","GLO1"
"363","ACP1","HP"
"364","ACP1","ME2"
"365","ACP1","NUBP1"
"366","ACP1","NUBP2"
"367","ACP1","PEPA"
"368","ACP1","PGM1"
"369","ACP1","PGM3"
"370","ACP2","ACPT"
"371","ACPP","PTK2B"
"372","ACRC","LOC158997"
"373","ACT","EZF-2"
"374","ACT","FLJ12298"
"375","ACT","FLJ23614"
"376","ACT","LOC222696"
"377","ACT","MGC15548"
"378","ACT","ZIM2"
"379","ACT","ZNF274"
"380","ACT","ZNF396"
"381","ACTA1","DMD"
"382","ACTA1","DNASE1"
"383","ACTA1","FSCN1"
"384","ACTA1","GSN"
"385","ACTA1","PFN1"
"386","ACTA1","TAGLN"
"387","ACTA1","TLN1"
