,biocarta,chr,cluster length max,cluster length mean,cluster length median,cluster length min,clusters,conductance max data/red-new/net_exp_final.txt,conductance max data/red-new/net_mirna_final.txt,conductance max data/red-new/net_ppi_unique_nodes_int.txt,conductance max data/red-new/net_tf_final.txt,conductance mean data/red-new/net_exp_final.txt,conductance mean data/red-new/net_mirna_final.txt,conductance mean data/red-new/net_ppi_unique_nodes_int.txt,conductance mean data/red-new/net_tf_final.txt,conductance median data/red-new/net_exp_final.txt,conductance median data/red-new/net_mirna_final.txt,conductance median data/red-new/net_ppi_unique_nodes_int.txt,conductance median data/red-new/net_tf_final.txt,conductance min data/red-new/net_exp_final.txt,conductance min data/red-new/net_mirna_final.txt,conductance min data/red-new/net_ppi_unique_nodes_int.txt,conductance min data/red-new/net_tf_final.txt,cp,go,kegg,mir,modularity data/red-new/net_exp_final.txt,modularity data/red-new/net_mirna_final.txt,modularity data/red-new/net_ppi_unique_nodes_int.txt,modularity data/red-new/net_tf_final.txt,reactome
data/red-new/multi_cluster/clusters_a_0980_phi_0500.txt,0.00403225806452,0.0120967741935,2551,27.9193548387,1,1,248,1,1,1,1,0.0860708156391,0.087384064615,0.075454750049,0.0938650537066,0,0,0,0,0,0,0,0,0.0362903225806,0.0846774193548,0.0241935483871,0.00806451612903,0.0107156088869,-0.0711600975774,0.0413565185942,0.000853073766779,0.0282258064516
data/red-new/multi_cluster/clusters_a_0999_phi_0300.txt,0.00390625,0.0234375,2559,27.046875,1,1,256,1,1,1,1,0.0991556381997,0.10167143814,0.0974323407427,0.112024161582,0,0,0,0,0,0,0,0,0.02734375,0.08984375,0.015625,0.00390625,0.0122014264893,-0.0761108198457,0.0417648381877,-0.000244199240578,0.0234375
data/red-new/multi_cluster/clusters_a_0999_phi_0350.txt,0.00390625,0.0234375,2559,27.046875,1,1,256,1,1,1,1,0.0991556381997,0.10167143814,0.0974323407427,0.112024161582,0,0,0,0,0,0,0,0,0.02734375,0.08984375,0.015625,0.00390625,0.0122014264893,-0.0761108198457,0.0417648381877,-0.000244199240578,0.0234375
data/red-new/multi_cluster/clusters_a_0999_phi_1500.txt,0.00389105058366,0.0233463035019,2559,26.9416342412,1,1,257,1,1,1,1,0.102670858863,0.101275829431,0.0986209181977,0.115489227813,0,0,0,0,0,0,0,0,0.0272373540856,0.0894941634241,0.0155642023346,0.00389105058366,0.0121642798181,-0.0761111094093,0.0417670914509,-0.0002329597599,0.0233463035019
data/red-new/multi_cluster/clusters_a_0999_phi_1000.txt,0.00389105058366,0.0233463035019,2559,26.9416342412,1,1,257,1,1,1,1,0.102670858863,0.101275829431,0.0986209181977,0.115489227813,0,0,0,0,0,0,0,0,0.0272373540856,0.0894941634241,0.0155642023346,0.00389105058366,0.0121642798181,-0.0761111094093,0.0417670914509,-0.0002329597599,0.0233463035019
data/red-new/multi_cluster/clusters_a_0999_phi_2000.txt,0,0.0194552529183,2559,26.9416342412,1,1,257,1,1,1,1,0.102670858863,0.0973847788478,0.098571417204,0.115489227813,0,0,0,0,0,0,0,0,0.0272373540856,0.0856031128405,0.0155642023346,0.00389105058366,0.0121642858218,-0.0761111121057,0.0417670682001,-0.000229151411606,0.0272373540856
data/red-new/multi_cluster/clusters_a_0999_phi_4000.txt,0.00389105058366,0.0194552529183,2559,26.9416342412,1,1,257,1,1,1,1,0.102670858863,0.0934937282641,0.0990998314808,0.115489227813,0,0,0,0,0,0,0,0,0.0272373540856,0.0856031128405,0.0155642023346,0.00389105058366,0.0121642858218,-0.0761111246815,0.0417683299447,-0.000229843174754,0.0233463035019
data/red-new/multi_cluster/clusters_a_0999_phi_3000.txt,0.00389105058366,0.0194552529183,2559,26.9416342412,1,1,257,1,1,1,1,0.102670858863,0.0934937282641,0.0990998314808,0.115489227813,0,0,0,0,0,0,0,0,0.0272373540856,0.0856031128405,0.0155642023346,0.00389105058366,0.0121642858218,-0.0761111246815,0.0417683299447,-0.000229843174754,0.0233463035019
data/red-new/biCl_red-new_BiClustering_tp.csv,0.0736842105263,0.0315789473684,701,36.4421052632,14.5,1,190,1,1,1,1,0.936442238846,0.983455720702,0.867055377425,0.892478749971,1,1,0.875,0.990372396625,0,0,0.49593495935,0,0.484210526316,0.873684210526,0.273684210526,0.142105263158,0.0414565698407,-0.00265623122176,0.0904063094203,0.00349038658176,0.384210526316
data/red-new/biCl_red-new_c300_CoClustering_tp.csv,0.137055837563,0.0304568527919,1334,35.1472081218,11,1,197,1,1,1,1,0.921967221163,0.95970160374,0.851259319275,0.853605577842,1,1,0.888888888889,0.991379310345,0,0,0,0,0.451776649746,0.791878172589,0.253807106599,0.131979695431,0.0920441286354,0.0015713351959,0.157416943326,0.014509427188,0.350253807107
data/red-new/biCl_red-new_c400_CoClustering_tp.csv,0.110687022901,0.0458015267176,1041,26.427480916,9,1,262,1,1,1,1,0.919025014051,0.966803820861,0.850583065942,0.812665078883,1,1,0.885714285714,0.992635216778,0,0,0,0,0.400763358779,0.732824427481,0.232824427481,0.13358778626,0.0707341593168,-0.00032003679683,0.142495673673,0.0131252979433,0.320610687023
data/red-new/biCl_red-new_c500_CoClustering_tp.csv,0.102893890675,0.0257234726688,1075,22.2636655949,6,1,311,1,1,1,1,0.903982362861,0.972903521329,0.839435795072,0.82231648394,1,1,0.883040935673,1,0,0,0,0,0.372990353698,0.704180064309,0.1961414791,0.128617363344,0.0617730759334,-0.000133607540144,0.140925576053,0.021634445085,0.292604501608
data/red-new/biCl_red-new_c600_CoClustering_tp.csv,0.105691056911,0.0135501355014,1006,18.7642276423,6,1,369,1,1,1,1,0.890436212624,0.965682836353,0.857055240107,0.821442730911,1,1,0.891891891892,1,0,0,0,0,0.341463414634,0.70189701897,0.170731707317,0.140921409214,0.0617394886808,-0.00143167982376,0.131376337844,0.0115384419861,0.243902439024
data/red-new/biCl_red-new_c700_CoClustering_tp.csv,0.102870813397,0.0191387559809,880,16.5645933014,5,1,418,1,1,1,1,0.871303243164,0.975392570352,0.849198427943,0.798892859391,1,1,0.896662958843,1,0,0,0,0,0.344497607656,0.677033492823,0.179425837321,0.145933014354,0.0511120688999,-0.00181751079943,0.12833597544,0.0117430936111,0.248803827751
data/red-new/biCl_red-new_CoClustering_tp.csv,0.106870229008,0.030534351145,1538,52.8549618321,18,1,131,1,1,1,1,0.898096584061,0.98112583733,0.843037593568,0.873827208205,0.977315689981,1,0.879336349925,0.985480943739,0,0.537078651685,0.297605473204,0,0.511450381679,0.786259541985,0.328244274809,0.190839694656,0.119467867334,0.000401029483765,0.165907523494,0.0105754709094,0.389312977099
