"","V1","V2"
"381","OPRK1","OPRD1"
"382","PRKCA","OPRD1"
"383","PRKCE","OPRD1"
"384","PRKCD","OPRD1"
"385","OPRM1","OPRD1"
"386","KLHL3","OPRD1"
"387","SERPINA3","ELANE"
"388","OPRK1","SLC9A3R1"
"389","CREBBP","MECOM"
"390","HDAC1","MECOM"
"391","CTBP1","MECOM"
"392","CTBP2","MECOM"
"393","SMAD3","MECOM"
"394","HDAC4","MECOM"
"395","KAT2B","MECOM"
"396","SMAD5","PNKP"
"397","ZIC1","GLI1"
"398","SERPINA3","MST1"
"399","ZIC2","GLI1"
"400","SUFU","GLI1"
"401","STK36","GLI1"
"402","SMAD5","SFPQ"
"403","ZIC1","GLI2"
"404","ZIC2","GLI2"
"405","SUFU","GLI2"
"406","STK36","GLI2"
"407","ZIC3","GLI3"
"408","CREBBP","GLI3"
"409","SERPINA3","KLK2"
"410","ZIC1","GLI3"
"411","SMAD4","GLI3"
"412","SMAD2","GLI3"
"413","SMAD1","GLI3"
"414","TWIST1","GLI3"
"415","ZIC2","GLI3"
"416","SMAD3","GLI3"
"417","SUFU","GLI3"
"418","STK36","GLI3"
"419","SMAD4","SKIL"
"420","SERPINA3","ERBB2"
"421","SMAD2","SKIL"
"422","SMAD3","SKIL"
"423","CDC16","SKIL"
"424","FZR1","SKIL"
"425","CPNE1","SKIL"
"426","CPNE2","SKIL"
"427","CPNE4","SKIL"
"428","SMURF2","SKIL"
"429","NHEJ1","LIG4"
"430","ADRA1D","FLNC"
"431","SERPINA3","KLK3"
"432","CBL","PLCG1"
"433","CBL","PTPN6"
"434","CBL","TYK2"
"435","CBL","ZAP70"
"436","CBL","ITK"
"437","CBL","ABL1"
"438","CBL","SRC"
"439","CBL","NOTCH1"
"440","CBL","BLK"
"441","CBL","BTK"
"442","SERPINA3","F5"
"443","CBL","SH3KBP1"
"444","CBL","SYK"
"445","CBL","SCN5A"
"446","CBL","VAV2"
"447","CBL","NCK1"
"448","CBL","SHC1"
"449","CBL","INPPL1"
"450","CBL","SLA"
"451","CBL","PTK2B"
"452","CBL","UBE2G1"
"453","SERPINA3","POLA1"
"454","CBL","LCP2"
"455","CBL","CRKL"
"456","CBL","SPRY2"
"457","CBL","KHDRBS1"
"458","CBL","EPHB6"
"459","CBL","UBE2D2"
"460","CBL","UBE2G2"
"461","PIK3R2","CBL"
"462","CD151","ITGA3"
"463","CBL","UBE2L3"
"464","SERPINA3","CTRC"
"465","CBL","CD2AP"
"466","CD151","ITGB1"
"467","CBL","SORBS1"
"468","CBL","SLA2"
"469","CBL","PTPN22"
"470","CD81","SHC1"
"471","CBL","FRS2"
"472","CBL","EIF5B"
"473","SMAD5","SNRPA"
"474","SERPINA3","DNAJC1"
"475","CBL","CDKL2"
"476","CBL","UBASH3B"
"477","PGGT1B","RHOB"
"478","PDE6D","RHOB"
"479","ARHGDIG","RHOB"
"480","RHPN2","RHOB"
"481","ARHGEF3","RHOB"
"482","ROCK1","RHOC"
"483","RTKN","RHOC"
"484","CIT","RHOC"
"485","ATN1","PSMA3"
"486","PLCG1","RHOA"
"487","RHOA","KCNA2"
"488","PRKCA","RHOA"
"489","RHOA","TGM2"
"490","RHOA","FLNA"
"491","RHOA","OPHN1"
"492","RHOA","MCF2"
"493","RHOA","KTN1"
"494","VAV2","RHOA"
"495","ATN1","GIGYF1"
"496","RHOA","PKN1"
"497","RHOA","DGKQ"
"498","RHOA","PRKACA"
"499","ROCK1","RHOA"
"500","RHOA","TRIO"
"501","RHOA","ARHGDIA"
"502","RHOA","PPP1R12A"
"503","RTKN","RHOA"
"504","RHOA","CNTNAP1"
"505","RHOA","PLD1"
"506","CTSB","SLPI"
"507","RHOA","PKN2"
"508","PDE6D","RHOA"
"509","RHOA","ARHGAP1"
"510","RHOA","ARHGDIB"
"511","ARHGDIG","RHOA"
"512","RHOA","AKAP13"
"513","RHOA","RABAC1"
"514","RHOA","ARHGEF4"
"515","VAV3","RHOA"
"516","RHOA","ARHGEF12"
"517","CTSS","SLPI"
"518","CIT","RHOA"
"519","RHOA","ARHGEF11"
"520","RHOA","ICMT"
"521","RHOA","SRGAP1"
"522","RHOA","DAAM1"
"523","RHPN2","RHOA"
"524","RHOA","SH3BP1"
"525","RHOA","ARHGEF2"
"526","RHOA","DEF6"
"527","RHOA","GMIP"
"528","CTSL1","SLPI"
"529","RHOA","RAP1GDS1"
"530","RHOA","TRPC1"
"531","RHOA","CNKSR1"
"532","RHOA","ARHGEF18"
"533","ARHGEF3","RHOA"
"534","RHOA","-"
"535","RHOA","MCF2L"
"536","RHOA","DOCK7"
"537","SMAD5","PSMD11"
"538","ADRA1B","FLNC"
"539","ELANE","SLPI"
"540","RHOA","RHPN1"
"541","RHOA","SPRED2"
"542","SMAD5","U2AF2"
"543","SMAD5","SOX5"
"544","OAZ1","ODC1"
"545","OAZ2","ODC1"
"546","ACP5","SPP1"
"547","PRKCA","SPP1"
"548","MMP7","SPP1"
"549","ITGAV","SPP1"
"550","GRN","SLPI"
"551","ITGA9","SPP1"
"552","PRKG1","SPP1"
"553","SMAD5","HBG2"
"554","TTN","NBR1"
"555","CIB1","NBR1"
"556","FEZ1","NBR1"
"557","VAPA","OSBP"
"558","SMAD5","RBM4"
"559","AVP","OXTR"
"560","OXT","OXTR"
"561","KLK3","SLPI"
"562","PCSK6","PMCH"
"563","PCSK6","FLG"
"564","RB1","PAX2"
"565","MAPK8","PAX2"
"566","WT1","PAX2"
"567","PAXIP1","PAX2"
"568","SFRP2","PAX2"
"569","HIRA","PAX7"
"570","MEOX1","PAX1"
"571","PRSS2","SLPI"
"572","MEOX2","PAX1"
"573","PAX5","MYB"
"574","PAX5","ID3"
"575","PAX5","KPNA2"
"576","PAX5","KPNA1"
"577","PAX5","DAXX"
"578","PAX5","TLE4"
"579","SMAD5","RYR2"
"580","NKX2-1","PAX8"
"581","ATN1","SIAH1"
"582","SMAD3","PAX8"
