"","V1","V2","NA"
"","AAAS","SRSF1","STATE_CHANGE"
"","AAAS","SRSF11","STATE_CHANGE"
"","AAAS","SRSF2","STATE_CHANGE"
"","AAAS","SRSF4","STATE_CHANGE"
"","AAAS","SRSF5","STATE_CHANGE"
"","AAAS","SRSF6","STATE_CHANGE"
"","AAAS","SRSF7","STATE_CHANGE"
"","AAAS","SRSF9","STATE_CHANGE"
"","AAAS","THOC4","STATE_CHANGE"
"","AAAS","U2AF1","STATE_CHANGE"
"","AAAS","U2AF2","STATE_CHANGE"
"","AAAS","UPF3B","STATE_CHANGE"
"","AARS2","AARS2","SEQUENTIAL_CATALYSIS"
"","AARS","AARS","SEQUENTIAL_CATALYSIS"
"","AASDHPPT","FASN","STATE_CHANGE"
"","AATF","MAGED1","IN_SAME_COMPONENT"
"","AATF","NGF","IN_SAME_COMPONENT"
"","AATF","NGFR","IN_SAME_COMPONENT"
"","AATF","AATF","REACTS_WITH"
"","ABAT","ABAT","SEQUENTIAL_CATALYSIS"
"","ABCA1","APOA1","IN_SAME_COMPONENT"
"","ABCA1","ABCA1","REACTS_WITH"
"","ABCA7","APOA1","IN_SAME_COMPONENT"
"","ABCC3","ALB","STATE_CHANGE"
"","ABCC3","FABP6","STATE_CHANGE"
"","ABCC8","KCNJ11","IN_SAME_COMPONENT"
"","ABCC8","ABCC8","REACTS_WITH"
"","ABCG5","ABCG8","IN_SAME_COMPONENT"
"","ABHD5","PLIN1","IN_SAME_COMPONENT"
"","ABHD5","ABHD5","REACTS_WITH"
"","ABL1","BNIP2","IN_SAME_COMPONENT"
"","ABL1","CDC42","IN_SAME_COMPONENT"
"","ABL1","CDK5","IN_SAME_COMPONENT"
"","ABL1","CDON","IN_SAME_COMPONENT"
"","ABL1","SPAG9","IN_SAME_COMPONENT"
"","ABL1","ABL1","REACTS_WITH"
"","ACADVL","ATP6V0D1","REACTS_WITH"
"","ACADVL","TPP1","REACTS_WITH"
"","ACD","HIST3H3","IN_SAME_COMPONENT"
"","ACD","POT1","IN_SAME_COMPONENT"
"","ACD","TERF1","IN_SAME_COMPONENT"
"","ACD","TERF2","IN_SAME_COMPONENT"
"","ACD","TERF2IP","IN_SAME_COMPONENT"
"","ACD","TINF2","IN_SAME_COMPONENT"
"","ACD","ACD","REACTS_WITH"
"","ACHE","ACHE","SEQUENTIAL_CATALYSIS"
"","ACTB","CCT2","IN_SAME_COMPONENT"
"","ACTB","CCT3","IN_SAME_COMPONENT"
"","ACTB","CCT4","IN_SAME_COMPONENT"
"","ACTB","CCT5","IN_SAME_COMPONENT"
"","ACTB","CCT6A","IN_SAME_COMPONENT"
"","ACTB","CCT7","IN_SAME_COMPONENT"
"","ACTB","CCT8","IN_SAME_COMPONENT"
"","ACTB","TCP1","IN_SAME_COMPONENT"
"","ACTB","ACTB","REACTS_WITH"
"","ACTN1","PARVB","IN_SAME_COMPONENT"
"","ACTN1","ACTN1","REACTS_WITH"
"","ACTN2","CALM1","IN_SAME_COMPONENT"
"","ACTN2","DLG4","IN_SAME_COMPONENT"
"","ACTN2","NEFL","IN_SAME_COMPONENT"
"","ACTN2","RASGRF1","IN_SAME_COMPONENT"
"","ACTN2","RASGRF2","IN_SAME_COMPONENT"
"","ACTN2","ACTN2","REACTS_WITH"
"","ACTN2","HRAS","STATE_CHANGE"
"","ACTR1A","AKAP9","IN_SAME_COMPONENT"
"","ACTR1A","ALMS1","IN_SAME_COMPONENT"
"","ACTR1A","AZI1","IN_SAME_COMPONENT"
"","ACTR1A","CCP110","IN_SAME_COMPONENT"
